delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,sound_1.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.1,400,unexp,0,0,0,0,11.297355500006233,12.263720300004934,12.263720300004934,12.297010900001624,space,0.4045808999799192,12.79657563001383,13.125200300011784,13.125200300011784,13.125200300011784,13.125200300011784,450,1,[2.2740491000004113],[2.2740601999976207],552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.4,400,unexp,0,1,1,1,15.363531300012255,16.363886400009505,16.363886400009505,16.363886400009505,space,0.8903577999881236,17.68008853000647,,17.9802509000001,17.9802509000001,17.9802509000001,560,2,"[2.2740491000004113, 2.4660926000069594]","[2.2740601999976207, 2.4661017000034917]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.1,1000,exp,0,2,2,3,20.446633200001088,21.44638570000825,21.44638570000825,21.44638570000825,space,3.31157949999033,24.87992483000853,,25.179886500001885,25.179886500001885,25.179886500001885,600,3,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.4,1000,exp,0,3,3,4,29.72983930000919,30.730040800001007,30.730040800001007,30.730040800001007,space,0.7945417999872006,31.94652533000335,,32.24632860001293,32.24632860001293,32.24632860001293,500,4,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.4,1000,exp,0,4,4,10,39.97940480000398,40.97957700000552,40.97957700000552,40.97957700000552,space,0.24347029998898506,41.64630273000803,41.9464813000086,41.9464813000086,41.9464813000086,41.9464813000086,600,5,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.7,1000,exp,0,5,5,5,44.69585490001191,45.69593600000371,45.69593600000371,45.69593600000371,space,3.107306999983848,49.52957463001367,49.829324500009534,49.829324500009534,49.829324500009534,49.829324500009534,684,6,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.4,1000,exp,0,6,6,7,53.579403200012166,54.57944850000786,54.57944850000786,54.57944850000786,space,2.8371161999821197,57.84606353000272,,58.1457769000117,58.1457769000117,58.1457769000117,560,7,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.7,1000,exp,0,7,7,11,60.09587740000279,61.0955193000118,61.0955193000118,61.0955193000118,space,0.9388579999795184,62.762684930002436,,63.0623775000131,63.0623775000131,63.0623775000131,500,8,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.7,400,unexp,0,8,8,2,66.4790178000112,67.47929650000879,67.47929650000879,67.47929650000879,space,0.5285709999880055,68.72895013001398,69.02902910001285,69.02902910001285,69.02902910001285,69.02902910001285,400,9,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.1,1000,exp,0,9,9,9,71.41237510000065,72.4123271000135,72.4123271000135,72.4123271000135,space,1.4306829999841284,73.96191933000519,,74.26213480001024,74.26213480001024,74.26213480001024,568,10,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.7,1000,exp,0,10,10,8,77.16227050000452,78.16236840000784,78.16236840000784,78.16236840000784,space,0.06856549998337869,78.96205313000537,,79.26238890000968,79.26238890000968,79.26238890000968,543,11,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.1,1000,exp,0,11,11,6,82.36195760000555,83.36230649999925,83.36230649999925,83.36230649999925,space,0.18042159998731222,83.6619658300071,83.96234990000085,83.96234990000085,83.96234990000085,83.96234990000085,674,12,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996, 3.265393599998788]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215, 3.265400699994643]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.7,400,unexp,1,0,12,2,87.22868800000288,88.22885720001068,88.22885720001068,88.22885720001068,space,1.1401353999826824,90.09550153000164,,90.39513720000105,90.39513720000105,90.39513720000105,546,13,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996, 3.265393599998788, 3.9487100999976974]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215, 3.265400699994643, 3.9487213999964297]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.4,1000,exp,1,1,13,10,94.34502020000946,95.34523730000365,95.34523730000365,95.34523730000365,space,0.31475249999493826,96.07859303000733,,96.37845860001107,96.37845860001107,96.37845860001107,695 ,14,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996, 3.265393599998788, 3.9487100999976974, 4.481439399998635]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215, 3.265400699994643, 3.9487213999964297, 4.481448499995167]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.7,1000,exp,1,2,14,5,100.86181729999953,101.86170220001077,101.86170220001077,101.86170220001077,space,0.3432982999802334,102.92920133000298,,103.22822680001264,103.22822680001264,103.22822680001264,635,15,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996, 3.265393599998788, 3.9487100999976974, 4.481439399998635, 3.597594699996989]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215, 3.265400699994643, 3.9487213999964297, 4.481448499995167, 3.597600399996736]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.4,1000,exp,1,3,15,7,106.82829889999994,107.82826410001144,107.82826410001144,107.82826410001144,space,0.4418458999862196,108.69474023000221,,108.99503930000355,108.99503930000355,108.99503930000355,350,16,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996, 3.265393599998788, 3.9487100999976974, 4.481439399998635, 3.597594699996989, 3.999254199996358]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215, 3.265400699994643, 3.9487213999964297, 4.481448499995167, 3.597600399996736, 3.9992650999920443]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.4,400,unexp,1,4,16,1,112.99459570000181,113.99502640000719,113.99502640000719,113.99502640000719,space,0.4241341999877477,114.84471923001111,115.14478270000836,115.14478270000836,115.14478270000836,115.14478270000836,250,17,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996, 3.265393599998788, 3.9487100999976974, 4.481439399998635, 3.597594699996989, 3.999254199996358, 7.032008900001529]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215, 3.265400699994643, 3.9487213999964297, 4.481448499995167, 3.597600399996736, 3.9992650999920443, 7.0320212000078754]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.1,1000,exp,1,5,17,9,122.17787580000004,123.17802770000708,123.17802770000708,123.17802770000708,space,0.47570309998991434,123.77798383000773,,124.07798920001369,124.07798920001369,124.07798920001369,460,18,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996, 3.265393599998788, 3.9487100999976974, 4.481439399998635, 3.597594699996989, 3.999254199996358, 7.032008900001529, 3.365154099999927]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215, 3.265400699994643, 3.9487213999964297, 4.481448499995167, 3.597600399996736, 3.9992650999920443, 7.0320212000078754, 3.365163200011011]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.7,1000,exp,1,6,18,8,127.44472600000154,128.44413700001314,128.44413700001314,128.44413700001314,space,0.5286846999952104,129.69446893000276,,129.99488740001107,129.99488740001107,129.99488740001107,769,19,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996, 3.265393599998788, 3.9487100999976974, 4.481439399998635, 3.597594699996989, 3.999254199996358, 7.032008900001529, 3.365154099999927, 3.015676099996199]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215, 3.265400699994643, 3.9487213999964297, 4.481448499995167, 3.597600399996736, 3.9992650999920443, 7.0320212000078754, 3.365163200011011, 3.015685399994254]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.1,400,unexp,1,7,19,0,133.01116430001275,134.01100360001146,134.01100360001146,134.01100360001146,space,0.4752584999805549,134.61100223000102,,134.91087030000926,134.91087030000926,134.91087030000926,567,20,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996, 3.265393599998788, 3.9487100999976974, 4.481439399998635, 3.597594699996989, 3.999254199996358, 7.032008900001529, 3.365154099999927, 3.015676099996199, 1.7659911000082502]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215, 3.265400699994643, 3.9487213999964297, 4.481448499995167, 3.597600399996736, 3.9992650999920443, 7.0320212000078754, 3.365163200011011, 3.015685399994254, 1.765999199997168]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.1,1000,exp,1,8,20,6,136.67739940001047,137.67775890001212,137.67775890001212,137.67775890001212,space,2.8321006999904057,140.62753043000993,,140.92762260000745,140.92762260000745,140.92762260000745,694,21,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996, 3.265393599998788, 3.9487100999976974, 4.481439399998635, 3.597594699996989, 3.999254199996358, 7.032008900001529, 3.365154099999927, 3.015676099996199, 1.7659911000082502, 2.648781500000041]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215, 3.265400699994643, 3.9487213999964297, 4.481448499995167, 3.597600399996736, 3.9992650999920443, 7.0320212000078754, 3.365163200011011, 3.015685399994254, 1.765999199997168, 2.6487905999965733]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.7,1000,exp,1,9,21,11,143.57741019999958,144.57756370000425,144.57756370000425,144.57756370000425,space,0.29660839997814037,145.5942694300058,,145.89388100001088,145.89388100001088,145.89388100001088,842,22,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996, 3.265393599998788, 3.9487100999976974, 4.481439399998635, 3.597594699996989, 3.999254199996358, 7.032008900001529, 3.365154099999927, 3.015676099996199, 1.7659911000082502, 2.648781500000041, 2.8318977000017185]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215, 3.265400699994643, 3.9487213999964297, 4.481448499995167, 3.597600399996736, 3.9992650999920443, 7.0320212000078754, 3.365163200011011, 3.015685399994254, 1.765999199997168, 2.6487905999965733, 2.831904599996051]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.4,1000,exp,1,10,22,4,148.72733130000415,149.72741530000349,149.72741530000349,149.72741530000349,space,1.5664173999830382,151.71052493001042,,152.01063100001193,152.01063100001193,152.01063100001193,678,23,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996, 3.265393599998788, 3.9487100999976974, 4.481439399998635, 3.597594699996989, 3.999254199996358, 7.032008900001529, 3.365154099999927, 3.015676099996199, 1.7659911000082502, 2.648781500000041, 2.8318977000017185, 2.9152808000071673]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215, 3.265400699994643, 3.9487213999964297, 4.481448499995167, 3.597600399996736, 3.9992650999920443, 7.0320212000078754, 3.365163200011011, 3.015685399994254, 1.765999199997168, 2.6487905999965733, 2.831904599996051, 2.9152893999998923]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.1,1000,exp,1,11,23,3,154.92718199999945,155.92743450000125,155.92743450000125,155.92743450000125,space,0.33695779998379294,156.3937816300051,156.69362970000657,156.69362970000657,156.69362970000657,156.69362970000657,887,24,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996, 3.265393599998788, 3.9487100999976974, 4.481439399998635, 3.597594699996989, 3.999254199996358, 7.032008900001529, 3.365154099999927, 3.015676099996199, 1.7659911000082502, 2.648781500000041, 2.8318977000017185, 2.9152808000071673, 2.1500518999964697]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215, 3.265400699994643, 3.9487213999964297, 4.481448499995167, 3.597600399996736, 3.9992650999920443, 7.0320212000078754, 3.365163200011011, 3.015685399994254, 1.765999199997168, 2.6487905999965733, 2.831904599996051, 2.9152893999998923, 2.150060799991479]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.1,1000,exp,2,0,24,3,158.84357810000074,159.8435843000043,159.8435843000043,159.8435843000043,space,0.3735854999831645,160.34375593001022,,160.6436301000067,160.6436301000067,160.6436301000067,458,25,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996, 3.265393599998788, 3.9487100999976974, 4.481439399998635, 3.597594699996989, 3.999254199996358, 7.032008900001529, 3.365154099999927, 3.015676099996199, 1.7659911000082502, 2.648781500000041, 2.8318977000017185, 2.9152808000071673, 2.1500518999964697, 8.614664799999446]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215, 3.265400699994643, 3.9487213999964297, 4.481448499995167, 3.597600399996736, 3.9992650999920443, 7.0320212000078754, 3.365163200011011, 3.015685399994254, 1.765999199997168, 2.6487905999965733, 2.831904599996051, 2.9152893999998923, 2.150060799991479, 8.614681199993356]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
0.4,1000,exp,2,1,25,7,169.260110800009,170.26036410000233,170.26036410000233,170.26036410000233,space,0.4142969999811612,171.09351103000807,171.3936575000116,171.3936575000116,171.3936575000116,171.3936575000116,568,26,"[2.2740491000004113, 2.4660926000069594, 4.548173000002862, 7.7325188999966485, 2.74882140000409, 3.749088699987624, 1.9485854000085965, 3.414302899996983, 2.3810407999990275, 2.8987961999955587, 3.0976198999996996, 3.265393599998788, 3.9487100999976974, 4.481439399998635, 3.597594699996989, 3.999254199996358, 7.032008900001529, 3.365154099999927, 3.015676099996199, 1.7659911000082502, 2.648781500000041, 2.8318977000017185, 2.9152808000071673, 2.1500518999964697, 8.614664799999446, 3.215225799998734]","[2.2740601999976207, 2.4661017000034917, 4.548183399994741, 7.73252639999555, 2.748834900005022, 3.749097299994901, 1.9485934000113048, 3.414312000008067, 2.381051500007743, 2.8988053999928525, 3.097628400006215, 3.265400699994643, 3.9487213999964297, 4.481448499995167, 3.597600399996736, 3.9992650999920443, 7.0320212000078754, 3.365163200011011, 3.015685399994254, 1.765999199997168, 2.6487905999965733, 2.831904599996051, 2.9152893999998923, 2.150060799991479, 8.614681199993356, 3.215233700000681]",552415,001,2022-11-10_22h47.58.612,T7,2022.2.4,59.9800146553187,
